Time,Tm,Rh,Na,Np,Li,H2s,Nh3,No2,Pm2,Pm10,Voc
2024-04-13 15:31:45,36,59,47,64,702,0,72,3,6,7,201
2024-04-13 15:36:45,36,58,50,203,702,0,75,3,8,10,243
2024-04-13 15:41:45,36,58,48,94,702,0,61,2,5,6,154
2024-04-13 15:46:44,36,59,49,156,701,0,74,3,11,13,270
2024-04-13 15:51:44,36,57,47,78,702,0,67,2,8,9,169
2024-04-13 15:56:44,36,57,47,128,701,0,65,2,5,5,127
2024-04-13 16:01:44,36,59,47,77,702,0,66,2,6,6,158
2024-04-13 16:06:43,36,59,47,84,701,0,64,2,5,6,142
2024-04-13 16:11:43,36,57,47,125,701,0,61,2,6,7,133
2024-04-13 16:16:43,36,56,48,130,701,0,63,2,8,8,157
2024-04-13 16:21:42,35,58,47,52,701,0,72,3,11,11,214
2024-04-13 16:26:42,35,57,47,48,702,0,66,2,11,11,147
2024-04-13 16:31:42,35,60,51,299,702,0,69,3,13,13,219
2024-04-13 16:36:42,35,59,52,287,701,0,63,2,8,8,133
2024-04-13 16:41:41,35,62,53,276,701,0,68,3,8,9,171
2024-04-13 16:46:42,35,61,49,173,701,0,75,3,13,15,196
2024-04-13 16:51:41,35,60,51,209,701,0,56,2,5,6,120
2024-04-13 16:56:40,35,61,54,262,702,0,68,2,23,23,173
2024-04-13 17:01:40,35,61,47,51,701,0,65,2,16,16,136
2024-04-13 17:06:40,34,63,54,230,702,0,77,3,49,55,265
2024-04-13 17:11:40,34,61,54,126,701,0,73,2,21,23,181
2024-04-13 17:16:39,34,62,52,150,700,0,68,2,17,17,164
2024-04-13 17:21:39,34,61,50,129,702,0,66,2,12,12,155
2024-04-13 17:26:39,34,60,49,120,708,4,63,2,10,10,114
2024-04-13 17:31:39,34,61,49,157,702,0,66,2,8,9,149
2024-04-13 17:36:38,34,62,48,90,702,0,73,3,7,7,200
2024-04-13 17:41:38,34,63,48,159,702,0,68,3,7,7,145
2024-04-13 17:46:38,34,61,47,50,702,0,63,2,6,6,114
2024-04-13 17:51:38,34,64,47,109,700,0,73,3,9,9,164
2024-04-13 17:56:38,34,61,47,53,702,0,61,2,5,6,99
2024-04-13 18:01:37,33,63,47,51,702,0,64,2,7,7,146
2024-04-13 18:06:37,33,63,47,48,703,0,68,2,6,7,134
2024-04-13 18:11:37,33,64,48,111,702,0,71,3,6,7,184
2024-04-13 18:16:37,33,64,47,125,703,0,68,2,7,9,137
2024-04-13 18:21:36,33,62,49,255,701,0,59,2,5,6,65
2024-04-13 18:26:36,33,64,47,90,701,0,66,2,5,6,114
2024-04-13 18:31:36,33,63,47,55,702,0,59,2,4,5,89
2024-04-13 18:36:36,33,64,50,285,582,0,59,2,5,5,84
2024-04-13 18:41:36,32,63,47,51,238,0,63,2,6,7,99
2024-04-13 18:46:36,32,65,47,52,115,0,69,2,13,14,152
2024-04-13 18:51:35,32,65,47,48,37,0,67,2,6,6,112
2024-04-13 18:56:35,32,65,48,239,43,0,65,2,7,7,95
2024-04-13 19:01:35,32,67,47,155,11,0,73,2,7,9,175
2024-04-13 19:06:36,32,65,47,48,4,0,65,2,5,6,62
2024-04-13 19:11:35,32,65,47,49,13,0,60,2,4,5,53
2024-04-13 19:13:04,32,66,47,48,22,0,62,2,6,6,71
2024-04-13 19:18:04,31,67,47,48,4,0,68,3,9,10,140
2024-04-13 19:23:04,31,67,47,48,23,0,64,2,5,6,74
2024-04-13 19:28:04,31,69,47,62,22,0,68,2,6,6,133
2024-04-13 19:33:03,31,67,47,49,4,0,61,2,5,5,84
2024-04-13 19:38:03,31,68,47,58,23,0,66,2,6,6,134
2024-04-13 19:43:03,31,69,47,48,13,0,66,2,5,5,140
2024-04-13 19:48:03,31,69,47,48,19,0,71,3,8,8,185
2024-04-13 19:53:02,31,69,46,51,11,0,69,2,7,7,150
2024-04-13 19:58:02,31,70,47,50,4,0,66,2,7,8,92
2024-04-13 20:03:02,31,70,48,245,23,0,63,2,6,6,99
2024-04-13 20:08:02,31,69,47,49,20,0,64,2,5,5,90
2024-04-13 20:13:02,31,72,47,49,14,0,68,2,13,13,172
2024-04-13 20:18:01,30,70,47,48,11,0,65,2,53,53,189
2024-04-13 20:23:01,30,70,47,55,4,0,64,2,15,15,108
2024-04-13 20:28:02,30,70,47,50,23,0,68,2,86,86,190
2024-04-13 20:33:01,30,71,47,49,16,0,64,2,5,5,83
2024-04-13 20:38:01,30,72,47,70,3,0,65,2,5,5,77
2024-04-13 20:43:00,30,72,47,48,23,0,57,2,3,4,53
2024-04-13 20:48:02,30,72,47,49,13,0,60,2,3,4,62
2024-04-13 20:53:00,30,72,47,51,22,0,57,2,3,3,54
2024-04-13 20:58:00,30,73,47,51,24,0,63,2,5,5,97
2024-04-13 21:03:00,30,73,47,49,4,0,57,2,3,3,53
2024-04-13 21:07:59,30,73,47,48,3,0,50,2,3,3,30
2024-04-13 21:12:59,29,74,47,48,13,0,59,2,4,4,86
2024-04-13 21:17:59,29,73,47,49,17,0,55,2,3,3,33
2024-04-13 21:22:59,29,73,47,50,14,0,54,2,3,3,36
2024-04-13 21:27:59,29,75,47,60,18,0,61,2,3,4,74
2024-04-13 21:32:59,29,75,47,50,19,0,58,2,4,4,56
2024-04-13 21:37:59,29,75,47,151,22,0,60,2,3,4,71
2024-04-13 21:42:58,29,75,47,49,17,0,55,2,4,4,46
2024-04-13 21:47:58,29,75,47,48,4,0,55,2,3,3,40
2024-04-13 21:52:58,29,76,47,48,4,0,57,2,4,4,60
2024-04-13 22:02:59,29,76,48,62,22,0,54,2,3,3,59
2024-04-13 22:07:58,29,76,47,50,4,0,55,2,4,4,46
2024-04-13 22:12:58,29,76,47,48,4,0,52,2,3,3,29
2024-04-13 22:17:57,29,78,47,51,3,0,59,2,5,6,96
2024-04-15 08:46:54,29,78,50,279,704,0,50,2,10,10,61
2024-04-15 08:51:54,29,79,47,89,702,0,54,2,10,10,140
2024-04-15 08:56:53,29,78,48,134,702,0,55,2,10,10,89
2024-04-15 09:01:53,30,77,47,62,704,0,51,2,7,7,57
2024-04-15 09:06:53,30,77,48,88,703,0,51,2,8,8,75
2024-04-15 09:11:53,30,73,47,115,703,0,50,2,7,7,65
2024-04-15 09:16:53,30,74,47,64,702,0,49,2,7,7,88
2024-04-15 09:21:53,30,72,47,76,702,0,50,2,9,9,69
2024-04-15 09:26:52,31,71,47,78,702,0,50,2,7,7,92
2024-04-15 09:31:52,31,71,47,66,702,0,50,2,7,7,101
2024-04-15 09:36:52,31,72,47,103,702,0,52,2,6,6,129
2024-04-15 09:41:52,31,70,47,52,703,0,55,2,7,7,118
2024-04-15 09:46:52,31,69,47,48,702,0,49,2,7,7,67
2024-04-15 09:51:52,31,71,47,57,701,0,53,2,6,6,85
2024-04-15 09:56:51,31,72,47,69,702,0,56,2,7,7,151
2024-04-15 10:01:51,31,69,47,116,702,0,48,2,6,6,110
2024-04-15 10:06:51,31,70,47,62,703,0,55,2,8,8,96
2024-04-15 10:11:51,32,69,49,262,701,0,61,2,6,7,176
2024-04-15 10:16:51,32,70,47,55,702,0,58,2,5,6,175
2024-04-15 10:21:51,32,66,49,304,702,0,50,2,5,6,65
2024-04-15 10:26:50,32,67,47,62,701,0,50,2,5,6,93
2024-04-15 10:31:50,33,64,50,296,703,0,53,2,4,5,132
2024-04-15 10:36:50,33,65,49,299,702,0,58,2,5,6,174
2024-04-15 10:41:50,33,64,49,293,702,0,52,2,5,6,132
2024-04-15 10:46:50,33,62,52,275,702,0,55,2,7,8,157
2024-04-15 10:51:50,33,61,49,238,702,0,52,2,5,6,122
2024-04-15 10:56:49,34,60,47,85,702,0,56,2,5,6,218
2024-04-15 11:01:49,34,60,54,270,702,0,53,2,13,19,159
2024-04-15 11:06:49,34,61,54,202,701,0,54,2,7,9,167
2024-04-15 11:11:49,34,59,51,145,701,0,53,2,5,6,96
2024-04-15 11:16:48,34,59,63,296,702,0,55,2,4,5,154
2024-04-15 11:21:48,34,60,50,176,703,0,58,3,9,13,213
2024-04-15 11:26:48,34,59,52,133,702,0,63,3,9,13,236
2024-04-15 11:31:47,34,59,58,303,702,0,58,2,6,6,183
2024-04-15 11:36:47,34,58,52,247,702,0,51,2,4,5,121
2024-04-15 11:41:47,34,58,47,87,702,0,52,2,8,8,180
2024-04-15 11:46:47,34,62,50,221,702,0,56,3,6,7,228
2024-04-15 11:51:47,34,58,48,127,701,0,51,2,6,6,150
2024-04-15 11:56:46,34,59,47,72,701,0,61,2,7,8,199
2024-04-15 12:01:46,35,59,48,111,702,0,56,2,5,6,177
2024-04-15 12:06:46,35,57,47,50,702,0,49,2,5,5,139
2024-04-15 12:11:46,35,58,47,74,707,1,63,3,7,8,225
2024-04-15 12:16:45,35,57,47,53,702,0,57,2,6,7,167
2024-04-15 12:21:45,35,55,49,98,702,0,55,2,5,6,164
2024-04-15 12:26:45,35,54,47,70,702,0,50,2,6,6,106
2024-04-15 12:31:44,36,54,50,109,702,0,53,2,7,7,129
2024-04-15 12:36:44,36,55,47,71,702,0,62,2,8,9,226
2024-04-15 12:41:44,36,55,47,49,701,0,54,2,7,7,196
2024-04-15 12:46:43,36,55,48,146,702,0,60,2,7,7,234
2024-04-15 12:51:43,36,53,47,72,701,0,58,2,8,8,226
2024-04-15 12:56:43,36,55,47,76,702,0,55,2,7,7,181
2024-04-15 13:01:42,36,54,47,56,702,0,70,3,9,9,269
2024-04-15 13:06:42,37,51,47,59,701,0,54,2,8,8,212
2024-04-15 13:11:42,37,53,47,73,701,0,64,2,6,6,251
2024-04-15 13:16:41,37,54,47,68,701,0,74,3,9,9,290
2024-04-15 13:21:41,37,54,47,58,702,0,78,3,7,8,306
2024-04-15 13:26:41,37,51,47,82,702,0,60,2,7,8,188
2024-04-15 13:31:41,37,53,47,71,701,0,61,2,7,8,243
2024-04-15 13:36:40,37,50,47,57,702,0,58,2,8,8,190
2024-04-15 13:41:40,37,52,50,162,701,0,68,3,12,13,195
2024-04-15 13:46:39,37,50,48,107,701,0,58,2,8,8,167
2024-04-15 13:51:39,37,51,47,74,701,0,68,3,9,9,239
2024-04-15 13:56:39,38,52,48,93,701,0,65,2,10,11,235
2024-04-15 14:01:38,38,51,49,222,701,0,70,3,9,9,285
2024-04-15 14:06:38,38,50,48,152,701,0,62,2,7,8,188
2024-04-15 14:11:38,38,51,47,95,701,0,64,3,8,8,279
2024-04-15 14:16:38,38,49,47,67,701,0,71,3,7,7,197
2024-04-15 14:21:37,38,54,47,70,701,0,65,3,7,7,257
2024-04-15 14:26:37,37,50,47,79,702,0,62,2,8,8,195
2024-04-15 14:31:37,37,52,47,132,702,0,62,3,8,8,211
2024-04-15 14:36:36,37,49,47,61,702,0,50,2,8,8,164
2024-04-15 14:41:36,37,52,48,97,702,0,76,3,10,10,284
2024-04-15 14:46:36,38,54,47,52,701,0,70,3,12,13,300
2024-04-15 14:51:36,38,53,47,50,702,0,70,3,9,9,261
2024-04-15 14:56:35,38,54,47,57,702,0,57,2,8,8,233
2024-04-15 15:01:35,37,56,48,115,701,0,72,3,9,9,301
2024-04-15 15:06:35,37,51,47,52,701,0,71,3,11,12,260
2024-04-15 15:11:34,37,51,47,73,701,0,66,3,9,9,237
2024-04-15 15:16:34,37,51,47,104,701,0,66,3,10,10,209
2024-04-15 15:21:34,37,52,47,70,702,0,72,3,9,9,214
2024-04-15 15:26:34,38,55,48,84,701,0,70,3,7,8,226
2024-04-15 15:31:33,38,50,47,97,701,0,64,3,8,9,204
2024-04-15 15:36:33,38,48,48,126,701,0,61,3,8,9,189
2024-04-15 15:41:33,38,49,47,84,700,0,60,2,7,8,185
2024-04-15 15:46:32,38,50,47,70,701,0,68,3,9,10,249
2024-04-15 15:51:32,38,48,48,73,701,0,60,2,6,7,169
2024-04-15 15:56:32,38,49,47,54,702,0,73,3,8,9,233
2024-04-15 16:01:32,38,50,47,72,707,17,61,2,7,7,216
2024-04-15 16:06:31,38,48,47,70,701,0,69,3,8,9,188
2024-04-15 16:11:31,38,53,48,109,701,0,81,3,12,15,304
2024-04-15 16:16:31,38,48,47,93,702,0,69,3,8,9,207
2024-04-15 16:21:30,38,51,47,59,701,0,74,3,9,10,241
2024-04-15 16:26:30,38,49,47,54,701,0,74,3,10,12,243
2024-04-15 16:31:30,38,46,47,70,702,0,67,3,9,9,189
2024-04-15 16:36:30,38,47,47,86,701,0,69,3,10,12,225
2024-04-15 16:41:29,38,49,79,338,702,0,100,4,33,55,283
2024-04-15 16:46:29,38,51,72,245,701,0,84,3,19,28,269
2024-04-15 16:51:30,38,51,48,93,701,0,72,3,10,12,226
2024-04-15 16:56:28,38,47,50,301,701,0,69,3,8,9,171
2024-04-15 17:01:28,38,48,47,111,702,0,82,3,22,22,267
2024-04-15 17:06:27,38,49,47,74,702,0,82,3,10,10,194
2024-04-15 17:11:27,38,52,49,298,701,0,73,3,11,12,201
2024-04-15 17:16:27,38,53,47,70,701,0,83,3,14,15,267
2024-04-15 17:21:27,38,52,47,78,702,0,68,3,12,12,221
2024-04-15 17:26:26,37,53,47,49,701,0,76,3,12,12,304
2024-04-15 17:31:26,37,54,47,49,702,0,69,3,11,11,206
2024-04-15 17:36:26,36,56,47,59,701,0,68,3,12,12,194
2024-04-15 17:41:25,36,56,47,64,701,0,62,2,14,14,180
2024-04-15 17:46:25,36,57,47,72,702,0,68,3,15,15,198
2024-04-15 17:51:25,35,62,48,299,701,0,81,3,20,23,338
2024-04-15 17:56:25,35,61,60,300,702,0,75,3,17,18,230
2024-04-15 18:01:25,35,62,50,251,703,0,67,3,16,16,160
2024-04-15 18:06:24,34,62,49,166,701,0,65,2,15,16,152
2024-04-15 18:11:24,34,61,51,225,703,0,64,2,14,14,135
2024-04-15 18:16:24,34,66,48,173,708,0,75,3,16,16,219
2024-04-15 18:21:24,34,66,47,76,653,0,67,2,16,16,196
