Time,Tm,Rh,Na,Np,Li,H2s,Nh3,No2,Pm2,Pm10,Voc
2024-05-19 19:17:44,32,68,46,47,3,0,40,0,4,5,112
2024-05-19 19:22:45,32,68,46,47,3,0,40,0,5,5,106
2024-05-19 19:27:46,32,67,46,47,3,0,41,0,4,5,98
2024-05-19 19:32:46,32,67,46,47,3,0,40,0,4,5,100
2024-05-19 19:37:47,32,68,46,47,3,8,40,0,5,5,100
2024-05-19 19:42:48,32,68,46,47,4,0,40,0,4,4,97
2024-05-19 19:47:49,32,67,46,62,3,0,39,0,4,4,91
2024-05-19 19:52:50,32,68,46,47,3,0,37,0,3,3,89
2024-05-19 19:57:50,32,69,46,47,3,0,39,0,4,4,90
2024-05-19 20:02:51,32,68,46,47,3,0,39,0,4,4,82
2024-05-19 20:07:52,32,69,46,47,3,0,39,0,7,7,95
2024-05-19 20:12:53,31,70,46,47,3,0,40,0,6,6,96
2024-05-19 20:17:54,31,69,46,47,3,0,40,0,5,5,94
2024-05-19 20:22:55,31,69,46,50,3,0,40,0,6,6,94
2024-05-19 20:27:55,31,69,46,47,3,0,40,0,5,5,94
2024-05-19 20:32:56,31,70,46,47,3,0,41,0,4,4,95
2024-05-19 20:37:57,31,70,46,47,3,0,40,0,8,8,140
2024-05-19 20:42:58,31,70,46,47,3,0,40,0,7,7,158
2024-05-19 20:47:58,31,70,46,47,3,0,40,0,14,14,156
2024-05-19 20:52:59,31,70,46,47,4,0,39,0,6,6,117
2024-05-19 20:58:00,31,71,46,47,3,0,40,0,8,8,138
2024-05-19 21:03:01,31,71,46,47,3,0,40,0,22,22,112
2024-05-19 21:08:02,31,72,46,47,3,0,40,0,4,4,87
2024-05-19 21:13:03,31,72,46,47,2,0,40,0,4,4,111
2024-05-19 21:18:03,31,72,46,47,3,0,39,0,4,4,93
2024-05-19 21:23:04,31,73,46,47,3,0,39,0,4,4,85
2024-05-19 21:28:05,31,73,46,47,3,0,40,0,3,3,82
2024-05-19 21:33:06,31,73,46,47,3,0,39,0,4,4,74
2024-05-19 21:38:08,30,74,46,47,3,0,39,0,4,4,72
2024-05-19 21:43:07,30,74,46,47,3,0,38,0,4,4,69
2024-05-19 21:48:08,30,74,46,47,3,0,38,0,4,4,70
2024-05-19 21:53:09,30,74,46,47,3,0,38,0,3,3,71
2024-05-19 21:58:10,30,75,46,47,3,0,40,0,4,4,72
2024-05-19 22:03:11,30,75,46,47,2,0,43,0,3,3,70
2024-05-19 22:08:11,30,75,46,47,1,14,39,0,5,6,66
2024-05-19 22:13:12,30,75,46,47,3,0,39,0,4,4,64
2024-05-19 22:18:13,30,75,46,47,2,0,38,0,4,4,62
2024-05-19 22:23:14,30,75,46,47,3,0,38,0,3,4,63
2024-05-19 22:28:15,30,76,46,47,3,0,38,0,4,4,66
2024-05-19 22:33:15,30,75,46,63,3,0,38,0,4,4,66
2024-05-19 22:38:16,30,75,46,47,3,0,37,0,3,4,71
2024-05-19 22:43:17,30,75,46,48,3,0,38,0,3,3,71
2024-05-19 22:48:18,30,75,46,47,2,0,36,0,4,5,69
2024-05-19 22:53:18,30,76,46,47,2,0,37,0,5,5,68
2024-05-19 22:58:19,30,76,46,47,3,0,37,0,4,4,67
2024-05-19 23:03:20,30,76,46,47,3,0,37,0,4,4,66
2024-05-19 23:08:21,30,76,46,47,3,0,36,0,4,4,74
2024-05-19 23:13:22,30,76,46,47,3,0,37,0,4,4,74
2024-05-19 23:18:22,30,76,46,47,4,0,37,0,5,5,68
2024-05-19 23:23:23,30,76,46,47,3,0,37,0,4,4,61
2024-05-19 23:28:24,30,76,46,47,3,0,37,0,3,3,59
2024-05-19 23:33:25,30,76,46,47,3,0,36,0,4,4,61
2024-05-19 23:38:25,30,76,46,47,3,0,37,0,4,4,71
2024-05-19 23:43:26,30,76,46,47,3,0,39,0,4,4,70
2024-05-19 23:48:27,30,76,46,47,3,0,37,0,4,4,62
2024-05-19 23:53:29,30,77,46,47,3,0,38,0,4,4,63
2024-05-19 23:58:28,30,77,46,47,3,0,37,0,4,4,73
2024-05-20 00:03:29,30,77,46,47,3,0,36,0,5,5,73
2024-05-20 00:08:30,30,77,46,47,3,0,35,0,5,5,70
2024-05-20 00:13:31,30,77,46,47,3,0,36,0,5,5,65
2024-05-20 00:18:31,30,76,46,47,3,0,36,0,4,4,61
2024-05-20 00:23:32,29,77,46,47,3,0,36,0,4,4,59
2024-05-20 00:28:33,29,77,46,47,3,0,35,0,6,6,61
2024-05-20 00:33:34,29,77,46,47,3,0,36,0,5,5,62
2024-05-20 00:38:35,29,77,46,47,3,0,37,0,5,5,55
2024-05-20 00:43:35,29,77,46,47,3,0,37,0,5,5,52
2024-05-20 00:48:36,29,78,46,47,3,0,36,0,4,4,50
2024-05-20 00:53:37,29,78,46,47,3,0,36,0,4,4,48
2024-05-20 00:58:37,29,78,46,47,3,4,36,0,4,4,47
2024-05-20 01:03:38,29,79,46,47,4,4,37,0,5,5,47
2024-05-20 01:08:39,29,79,46,47,3,0,38,0,4,4,48
2024-05-20 01:13:40,29,78,46,47,3,0,38,0,4,4,49
2024-05-20 01:18:41,29,79,46,47,3,0,37,0,5,5,63
2024-05-20 01:23:41,29,78,46,47,3,0,36,0,5,5,62
2024-05-20 01:28:42,29,78,46,47,3,0,37,0,4,4,54
2024-05-20 01:33:43,29,78,46,47,3,0,36,0,4,4,47
2024-05-20 01:38:44,29,78,46,47,2,0,38,0,4,4,46
2024-05-20 01:43:44,29,78,46,47,3,0,40,0,3,3,46
2024-05-20 01:48:46,29,78,46,47,3,0,38,0,4,4,45
2024-05-20 01:53:46,29,78,46,47,3,0,39,0,5,5,44
2024-05-20 01:58:49,29,78,46,47,3,0,38,0,5,5,43
2024-05-20 02:03:47,29,78,46,47,3,0,37,0,3,3,41
2024-05-20 02:08:48,29,78,46,47,4,11,37,0,4,4,41
2024-05-20 02:13:49,29,78,46,47,3,0,37,0,4,4,39
2024-05-20 02:18:49,29,78,46,47,3,0,37,0,4,4,39
2024-05-20 02:23:50,29,77,46,47,3,0,36,0,3,3,38
2024-05-20 02:28:50,29,77,46,47,3,0,39,0,4,4,38
2024-05-20 02:33:51,29,78,46,47,1,0,39,0,4,4,41
2024-05-20 02:38:29,29,77,46,47,2,0,37,0,4,4,41
2024-05-20 02:43:30,29,77,46,47,3,0,36,0,4,4,38
2024-05-20 02:48:30,29,77,46,47,3,0,38,0,3,3,37
2024-05-20 02:53:31,28,78,46,47,3,0,39,0,4,4,39
2024-05-20 02:58:32,28,78,46,47,3,0,37,0,4,4,39
2024-05-20 03:03:33,28,78,46,47,3,0,37,0,4,4,38
2024-05-20 03:08:34,28,78,46,47,3,0,36,0,4,4,38
2024-05-20 03:13:34,28,78,46,47,3,0,36,0,4,4,37
2024-05-20 03:18:35,28,78,46,47,2,0,36,0,4,4,37
2024-05-20 03:23:36,28,78,46,47,3,0,36,0,4,4,38
2024-05-20 03:28:37,28,78,46,47,3,0,35,0,4,4,40
2024-05-20 03:33:37,28,78,46,47,2,8,35,0,3,4,40
2024-05-20 03:38:38,28,78,46,47,3,0,37,0,4,4,40
2024-05-20 03:43:39,28,77,46,47,2,0,35,0,4,4,35
2024-05-20 03:48:39,28,78,46,47,3,0,37,0,3,3,35
2024-05-20 03:53:40,28,78,46,47,3,0,37,0,3,3,35
2024-05-20 03:58:41,28,78,46,47,3,0,36,0,3,3,33
2024-05-20 04:03:42,28,78,46,47,3,0,35,0,3,3,31
2024-05-20 04:08:42,28,78,46,47,3,0,37,0,3,3,31
2024-05-20 04:13:43,28,79,46,47,3,0,37,0,5,5,29
2024-05-20 04:18:44,28,79,46,47,3,0,36,0,3,3,29
2024-05-20 04:23:45,28,79,46,47,3,0,36,0,3,3,30
2024-05-20 04:28:45,28,79,46,47,3,0,36,0,5,5,31
2024-05-20 04:33:46,28,80,46,47,3,0,36,0,4,4,34
2024-05-20 04:38:47,28,80,46,47,3,0,35,0,4,4,33
2024-05-20 04:43:48,28,80,46,47,2,0,35,0,4,4,32
2024-05-20 04:48:48,28,80,46,47,2,11,34,0,5,5,35
2024-05-20 04:53:49,28,79,46,47,3,0,35,0,4,4,35
2024-05-20 04:58:50,28,80,46,47,3,0,35,0,5,5,34
2024-05-20 05:03:50,28,80,46,47,3,0,36,0,5,5,39
2024-05-20 05:08:51,28,80,46,47,3,0,35,0,4,4,39
2024-05-20 05:13:52,28,80,46,47,3,0,36,0,4,4,37
2024-05-20 05:18:53,28,80,46,47,3,0,35,0,5,5,37
2024-05-20 05:23:53,28,80,46,47,3,0,36,0,5,5,40
2024-05-20 05:28:54,28,80,46,47,4,0,36,0,5,5,43
2024-05-20 05:33:55,28,79,46,47,3,0,36,0,4,4,40
2024-05-20 05:38:56,28,80,46,47,3,4,36,0,4,4,43
2024-05-20 05:43:57,28,80,46,47,4,0,36,0,5,5,43
2024-05-20 05:48:57,28,80,46,47,2,0,35,0,5,5,43
2024-05-20 05:53:58,28,80,46,47,3,0,36,0,5,5,44
2024-05-20 05:58:59,28,80,46,47,3,0,35,0,4,4,43
2024-05-20 06:03:59,28,80,46,47,3,0,36,0,6,6,44
2024-05-20 06:09:00,28,80,46,47,3,0,35,0,6,6,50
2024-05-20 06:14:01,28,80,46,47,27,0,35,0,7,7,55
